RiderID,RaceName,RaceType,Year,Position,BikeNumber,RiderURL,Rider1,Rider2,Machine,Time,Speed
4310,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,1,5,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4310,Bruce Anstey,,600 Honda,12:55.9,124.16
8526,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,2,4,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8526,Cameron DONALD,,600 Honda,12:56.7,124.138
8611,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,3,15,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8611,William Dunlop,,600 Honda,13:17.8,123.542
4307,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,4,1,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4307,John McGuinness,,600 Honda,13:26.1,123.31
9850,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,5,13,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9850,James Hillier,,600 Kawasaki,15:25.9,120.046
3649,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,6,14,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3649,Ian Lougher,,600 Kawasaki,15:36.1,119.776
2691,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,7,18,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=2691,Roy Richardson,,600 Yamaha,15:36.1,119.776
4538,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,8,11,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4538,Dan Stewart,,600 Honda,15:46.4,119.503
8379,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,9,6,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8379,Ian Hutchinson,,600 Yamaha,15:54.8,119.283
9964,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,10,38,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9964,Ivan Lintin,,600 Kawasaki,16:21.6,118.586
9927,TT 2012 Monster Energy Supersport TT Race 1 Results,TT 2012 Monster Energy Supersport TT Race 1 Results,2012,11,48,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9927,Daniel Cooper,,675 Triumph,16:39.5,118.124
